,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
49,2510000.0,1103225.0,11050000.0,3000000.0,5564767.0,1596360.0,4000000.0,5058198.0,35000.0,6500000.0,17000000
50,4665960.0,11260483.0,4250000.0,1033342.0,9000000.0,848266.0,7118502.0,14000000.0,5563920.0,3000000.0,3800000
51,2000000.0,12455000.0,2739669.0,10000000.0,13150000.0,12000000.0,1707720.0,3945000.0,915243.0,4000000.0,6191000
52,1053960.0,4125000.0,8513916.0,3240380.0,918000.0,3315000.0,1229225.0,2350820.0,29843.0,845059.0,14000000
53,6629891.0,1033930.0,2565000.0,2056968.0,4000000.0,1294920.0,13000000.0,15300000.0,3873398.0,2000000.0,3730653
54,11260483.0,533572.0,6294310.0,13520500.0,5900000.0,13500000.0,3630000.0,19067500.0,507336.0,2170465.0,11027027
55,4235220.0,15344000.0,2987000.0,15779912.0,1485000.0,16022500.0,1385280.0,2511432.0,2000000.0,13086957.0,600000
56,3750000.0,2535720.0,1212120.0,209592.0,1600000.0,1404960.0,15000000.0,4000000.0,2077000.0,3425510.0,2223600
57,2950000.0,1715040.0,1319651.0,1191180.0,11000000.0,1524480.0,17545000.0,4500000.0,12173913.0,12000000.0,9250000
58,412718.0,2750000.0,11593817.0,14858471.0,3000000.0,17059727.0,1630800.0,1186459.0,3278000.0,1499187.0,8269663
59,14248000.0,972720.0,14410581.0,2916120.0,1204560.0,3059000.0,16059854.0,3396250.0,12972973.0,2127840.0,7600000
60,1595400.0,711517.0,4000000.0,2717161.0,14400000.0,4710000.0,3243000.0,1210080.0,1448490.0,4775000.0,2700000
61,2750000.0,1200000.0,1141838.0,1107572.0,14500000.0,1000000.0,1069509.0,3500000.0,5000000.0,22192730.0,874636
62,241591.0,9075000.0,13757844.0,457588.0,1352181.0,1110120.0,3250000.0,30453805.0,13550000.0,7730337.0,934293
63,412718.0,1044120.0,2725920.0,1118520.0,1306920.0,854389.0,1193280.0,5000000.0,20644400.0,890693.0,4743000
64,564518.0,3750000.0,1834680.0,736420.0,1418160.0,6750000.0,2819044.0,1149000.0,7191011.0,8200000.0,543471
65,8287500.0,8218990.0,1045560.0,457588.0,15959099.0,3500000.0,3500000.0,2438760.0,2000000.0,2000000.0,2255644
66,8560000.0,3315000.0,107908.0,1100000.0,3703472.0,25244493.0,27849149.0,2202000.0,4702500.0,700000.0,3386598
67,971280.0,2172000.0,442114.0,4100000.0,4790000.0,854389.0,885120.0,8000000.0,1145685.0,117016.0,10154495
68,3240741.0,2471604.0,184157.0,2000000.0,1000000.0,2020200.0,2171640.0,1112880.0,44765.0,845059.0,17552209
69,810000.0,11250000.0,998398.0,23034375.0,2016692.0,8000000.0,8000000.0,6000000.0,283367.0,25000000.0,1589640
70,7438000.0,5850000.0,4000000.0,457588.0,762195.0,1020960.0,1097520.0,2790343.0,507336.0,5000000.0,7708427
71,2200000.0,1547760.0,797581.0,9780970.0,1229255.0,1229255.0,3250000.0,6791570.0,23500000.0,1252440.0,3678319
72,3000000.0,5450000.0,21262500.0,3945000.0,2200000.0,3250000.0,11046591.0,2653080.0,5000000.0,2658240.0,1015696
73,2030280.0,1103225.0,4010005.0,12526998.0,24806250.0,9780992.0,4590338.0,2557545.0,1200720.0,9213484.0,1296240
74,2333334.0,13320000.0,9249980.0,825497.0,780871.0,11227250.0,3500000.0,3180000.0,2548560.0,1499187.0,14200000
75,8800000.0,6150000.0,3630000.0,8219009.0,10561960.0,1352181.0,3090000.0,947907.0,3034356.0,15260000.0,4264057
76,5400000.0,10250000.0,2769300.0,7650000.0,2400000.0,544331.0,2277306.0,4000000.0,4500000.0,1499187.0,3183526
77,1439760.0,1091640.0,711517.0,6750000.0,13700000.0,3900000.0,4000000.0,14100538.0,2008748.0,1524000.0,3000000
78,1188000.0,3631449.0,7438018.0,855189.0,3250000.0,1352181.0,13604188.0,6344164.0,1448490.0,7402812.0,3551160
79,15101625.0,2350000.0,10000000.0,1009680.0,9000000.0,4000000.0,5930414.0,4250000.0,48028.0,2891760.0,12415000
80,6850000.0,6100000.0,6300000.0,4700000.0,11749832.0,1341960.0,7000000.0,1330000.0,2915908.0,947276.0,11200000
81,1071225.0,967320.0,1655760.0,1306455.0,473604.0,4000000.0,1240000.0,1129200.0,1458360.0,1242720.0,2941440
82,9150000.0,5750000.0,5050000.0,16300000.0,1352181.0,13107837.0,1300000.0,1900000.0,816482.0,13500000.0,1052342
83,2863920.0,3377160.0,1147533.0,1167000.0,377116.0,6000000.0,1082520.0,2585668.0,7097191.0,4088091.0,543471
84,158071.0,3500000.0,14724125.0,773500.0,1085400.0,1160000.0,1352181.0,8000001.0,2772480.0,2399040.0,1015696
85,6854546.0,1184400.0,700000.0,11850000.0,4300000.0,1035960.0,2319344.0,3000000.0,816482.0,3000000.0,12500000
86,2625698.0,7920000.0,11350000.0,1255440.0,1352181.0,1352181.0,2929332.0,4916974.0,1189200.0,3398280.0,247991
87,5800000.0,1285200.0,1173480.0,1766280.0,17300000.0,1455960.0,7305786.0,5225000.0,2442455.0,4300000.0,5229454
88,899880.0,1219590.0,5757818.0,1181803.0,1254480.0,3272997.0,85439.0,2162419.0,3911981.0,13000000.0,3750000
89,2501070.0,8947543.0,2074302.0,1181803.0,854389.0,6611571.0,3090042.0,788872.0,2300040.0,1000000.0,26540100
90,20279.0,10250000.0,6200000.0,1867742.0,12600000.0,1223166.0,473604.0,2180000.0,1063384.0,947276.0,874636
