,Name,Page,Birthplace,Years of experience,Age,Position,Team,PER,Salary
53,Bojan Bogdanović,https://www.basketball-reference.com/players/b/bogdabo02.html,Bosnia and Herzegovina,7,28,SF,TOT,13.5,3730653
54,Andrew Bogut,https://www.basketball-reference.com/players/b/bogutan01.html,Australia,14,33,C,TOT,9.3,11027027
55,Joel Bolomboy,https://www.basketball-reference.com/players/b/bolomjo01.html,Ukraine,2,23,PF,UTA,19.7,600000
56,Devin Booker,https://www.basketball-reference.com/players/b/bookede01.html,Michigan,6,21,SG,PHO,14.6,2223600
57,Trevor Booker,https://www.basketball-reference.com/players/b/booketr01.html,South Carolina,8,30,PF,BRK,15.7,9250000
58,Avery Bradley,https://www.basketball-reference.com/players/b/bradlav01.html,Washington,11,27,SG,BOS,14.4,8269663
59,Corey Brewer,https://www.basketball-reference.com/players/b/breweco01.html,Tennessee,13,31,SF,TOT,9.1,7600000
60,Aaron Brooks,https://www.basketball-reference.com/players/b/brookaa01.html,Washington,10,32,PG,IND,9.5,2700000
61,Anthony Brown,https://www.basketball-reference.com/players/b/brownan02.html,California,3,25,SF,TOT,7.2,874636
62,Bobby Brown,https://www.basketball-reference.com/players/b/brownbo02.html,California,4,33,PG,HOU,10.8,934293
63,Jaylen Brown,https://www.basketball-reference.com/players/b/brownja02.html,Georgia,5,21,SF,BOS,10.3,4743000
64,Nicolás Brussino,https://www.basketball-reference.com/players/b/brussni01.html,Argentina,2,24,SG,DAL,10.7,543471
65,Reggie Bullock,https://www.basketball-reference.com/players/b/bullore01.html,Maryland,8,26,SF,DET,11.7,2255644
66,Trey Burke,https://www.basketball-reference.com/players/b/burketr01.html,Ohio,8,25,PG,WAS,10.8,3386598
67,Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html,Missouri,10,26,SG,UTA,11.6,10154495
68,Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html,Texas,10,28,SF,CHI,25.1,17552209
69,Bruno Caboclo,https://www.basketball-reference.com/players/c/cabocbr01.html,Brazil,7,22,SF,TOR,14.6,1589640
70,José Calderón,https://www.basketball-reference.com/players/c/caldejo01.html,Spain,14,36,PG,TOT,8.9,7708427
71,Kentavious Caldwell-Pope,https://www.basketball-reference.com/players/c/caldwke01.html,Georgia,8,24,SG,DET,12.8,3678319
