,Name,Page,Birthplace,Years of experience,Age,Position,Team,PER,Salary
226,Brandon Jennings,https://www.basketball-reference.com/players/j/jennibr01.html,California,9,28,PG,TOT,12.1,4837318
227,Jonas Jerebko,https://www.basketball-reference.com/players/j/jerebjo01.html,Sweden,9,30,PF,BOS,9.3,5000000
228,Amir Johnson,https://www.basketball-reference.com/players/j/johnsam01.html,California,14,30,PF,BOS,15.0,12000000
229,Brice Johnson,https://www.basketball-reference.com/players/j/johnsbr02.html,South Carolina,2,23,PF,LAC,17.2,1273920
230,James Johnson,https://www.basketball-reference.com/players/j/johnsja01.html,Wyoming,12,30,PF,MIA,17.0,4000000
231,Joe Johnson,https://www.basketball-reference.com/players/j/johnsjo02.html,Arkansas,17,36,SF,UTA,12.8,11000000
232,Stanley Johnson,https://www.basketball-reference.com/players/j/johnsst04.html,California,6,21,SF,DET,7.2,2969880
233,Tyler Johnson,https://www.basketball-reference.com/players/j/johnsty01.html,North Dakota,7,25,PG,MIA,15.9,5628000
234,Wesley Johnson,https://www.basketball-reference.com/players/j/johnswe01.html,Texas,9,30,SF,LAC,8.4,5628000
235,Nikola Jokić,https://www.basketball-reference.com/players/j/jokicni01.html,Serbia,6,22,C,DEN,26.3,1358500
236,Dahntay Jones,https://www.basketball-reference.com/players/j/jonesda02.html,New Jersey,13,37,SF,CLE,14.7,24022
237,Damian Jones,https://www.basketball-reference.com/players/j/jonesda03.html,Louisiana,5,22,C,GSW,5.3,1171560
238,Derrick Jones Jr.,https://www.basketball-reference.com/players/j/jonesde02.html,Pennsylvania,5,20,SF,PHO,12.0,543471
239,James Jones,https://www.basketball-reference.com/players/j/jonesja02.html,Florida,14,37,SF,CLE,11.1,1551659
240,Terrence Jones,https://www.basketball-reference.com/players/j/joneste01.html,Oregon,6,25,PF,TOT,16.1,1050961
241,Tyus Jones,https://www.basketball-reference.com/players/j/jonesty01.html,Minnesota,6,21,PG,MIN,13.8,1339680
242,DeAndre Jordan,https://www.basketball-reference.com/players/j/jordade01.html,Texas,13,29,C,LAC,21.8,21165675
243,Cory Joseph,https://www.basketball-reference.com/players/j/josepco01.html,Canada,10,26,PG,TOR,13.2,7330000
244,Frank Kaminsky,https://www.basketball-reference.com/players/k/kaminfr01.html,Illinois,6,24,C,CHO,13.0,2730000
245,Ryan Kelly,https://www.basketball-reference.com/players/k/kellyry01.html,New York,4,26,PF,ATL,7.8,418228
246,Michael Kidd-Gilchrist,https://www.basketball-reference.com/players/k/kiddgmi01.html,Pennsylvania,8,24,SF,CHO,14.3,13000000
247,Sean Kilpatrick,https://www.basketball-reference.com/players/k/kilpase01.html,New York,4,27,SG,BRK,13.1,980431
248,Brandon Knight,https://www.basketball-reference.com/players/k/knighbr03.html,Florida,8,26,SG,PHO,12.4,12606250
249,Kyle Korver,https://www.basketball-reference.com/players/k/korveky01.html,California,17,36,SG,TOT,12.1,5239437
250,Kosta Koufos,https://www.basketball-reference.com/players/k/koufoko01.html,Ohio,11,28,C,SAC,13.8,8046500
251,Mindaugas Kuzminskas,https://www.basketball-reference.com/players/k/kuzmimi01.html,Lithuania,2,28,SF,NYK,12.4,2898000
252,Skal Labissière,https://www.basketball-reference.com/players/l/labissk01.html,Haiti,4,21,PF,SAC,16.8,1188840
253,Jeremy Lamb,https://www.basketball-reference.com/players/l/lambje01.html,Virginia,9,25,SG,CHO,17.0,6511628
254,Nicolás Laprovíttola,https://www.basketball-reference.com/players/l/laproni01.html,Argentina,1,27,PG,SAS,8.4,210995
255,Joffrey Lauvergne,https://www.basketball-reference.com/players/l/lauvejo01.html,France,4,26,PF-C,TOT,12.6,1709720
256,Zach LaVine,https://www.basketball-reference.com/players/l/lavinza01.html,Washington,7,22,SG,MIN,14.6,2240880
257,Ty Lawson,https://www.basketball-reference.com/players/l/lawsoty01.html,Maryland,9,30,PG,SAC,15.4,1315448
258,Jake Layman,https://www.basketball-reference.com/players/l/laymaja01.html,Massachusetts,5,23,SF,POR,4.9,600000
259,Courtney Lee,https://www.basketball-reference.com/players/l/leeco01.html,Indiana,12,32,SG,NYK,12.2,11242000
260,David Lee,https://www.basketball-reference.com/players/l/leeda02.html,Missouri,12,34,PF,SAS,18.5,1551659
261,Alex Len,https://www.basketball-reference.com/players/l/lenal01.html,Ukraine,8,24,C,PHO,15.0,4823621
262,Kawhi Leonard,https://www.basketball-reference.com/players/l/leonaka01.html,California,10,26,SF,SAS,27.6,17638063
263,Meyers Leonard,https://www.basketball-reference.com/players/l/leoname01.html,Illinois,9,25,PF,POR,8.9,9213484
264,Jon Leuer,https://www.basketball-reference.com/players/l/leuerjo01.html,Minnesota,8,28,PF,DET,14.2,10991957
265,Caris LeVert,https://www.basketball-reference.com/players/l/leverca01.html,Ohio,5,23,SF,BRK,12.3,1562280
266,DeAndre Liggins,https://www.basketball-reference.com/players/l/liggide01.html,Illinois,5,29,SG,TOT,7.5,1015696
267,Damian Lillard,https://www.basketball-reference.com/players/l/lillada01.html,California,9,27,PG,POR,24.1,24328425
268,Jeremy Lin,https://www.basketball-reference.com/players/l/linje01.html,California,9,29,PG,BRK,19.2,11483254
269,Shaun Livingston,https://www.basketball-reference.com/players/l/livinsh01.html,Illinois,14,32,PG,GSW,10.1,5782450
270,Shawn Long,https://www.basketball-reference.com/players/l/longsh01.html,Louisiana,1,24,C,PHI,24.1,96969
271,Kevon Looney,https://www.basketball-reference.com/players/l/looneke01.html,Wisconsin,6,21,C,GSW,13.6,1182840
272,Brook Lopez,https://www.basketball-reference.com/players/l/lopezbr01.html,California,13,29,C,BRK,20.4,21165675
273,Robin Lopez,https://www.basketball-reference.com/players/l/lopezro01.html,California,13,29,C,CHI,14.4,13219250
274,Kevin Love,https://www.basketball-reference.com/players/l/loveke01.html,California,13,29,PF,CLE,21.1,21165675
275,Kyle Lowry,https://www.basketball-reference.com/players/l/lowryky01.html,Pennsylvania,15,31,PG,TOR,22.9,12000000
276,John Lucas III,https://www.basketball-reference.com/players/l/lucasjo02.html,District of Columbia,8,35,PG,MIN,9.1,635753
277,Timothé Luwawu-Cabarrot,https://www.basketball-reference.com/players/l/luwawti01.html,France,5,22,SF,PHI,8.5,1326960
278,Trey Lyles,https://www.basketball-reference.com/players/l/lylestr01.html,Canada,6,22,PF,UTA,9.9,2340600
279,Sheldon Mac,https://www.basketball-reference.com/players/m/mcclesh01.html,Texas,1,25,SG,WAS,10.1,543471
280,Shelvin Mack,https://www.basketball-reference.com/players/m/macksh01.html,Kentucky,8,27,PG,UTA,10.9,2433334
281,Ian Mahinmi,https://www.basketball-reference.com/players/m/mahinia01.html,France,12,31,C,WAS,14.1,15944154
282,Thon Maker,https://www.basketball-reference.com/players/m/makerth01.html,South Sudan,5,20,C,MIL,14.0,2568600
283,Boban Marjanović,https://www.basketball-reference.com/players/m/marjabo01.html,Serbia,6,29,C,DET,29.6,7000000
284,Jarell Martin,https://www.basketball-reference.com/players/m/martija01.html,Louisiana,4,23,PF,MEM,8.7,1286160
285,Wesley Matthews,https://www.basketball-reference.com/players/m/matthwe02.html,Texas,12,31,SG,DAL,11.9,17100000
286,Luc Mbah a Moute,https://www.basketball-reference.com/players/m/mbahalu01.html,Cameroon,12,31,SF,LAC,10.2,2203000
287,James Michael McAdoo,https://www.basketball-reference.com/players/m/mcadoja01.html,Virginia,4,24,PF,GSW,13.1,980431
288,Patrick McCaw,https://www.basketball-reference.com/players/m/mccawpa01.html,Missouri,5,22,SG,GSW,8.6,543471
289,CJ McCollum,https://www.basketball-reference.com/players/m/mccolcj01.html,Ohio,8,26,SG,POR,19.9,3219579
290,T.J. McConnell,https://www.basketball-reference.com/players/m/mccontj01.html,Pennsylvania,6,25,PG,PHI,13.7,874636
291,Chris McCullough,https://www.basketball-reference.com/players/m/mcculch01.html,New York,3,22,PF,TOT,15.2,1191480
292,K.J. McDaniels,https://www.basketball-reference.com/players/m/mcdankj01.html,Alabama,3,24,SF,TOT,11.5,3333333
293,Doug McDermott,https://www.basketball-reference.com/players/m/mcderdo01.html,North Dakota,7,25,SF,TOT,10.7,2483040
294,JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html,Michigan,13,29,C,GSW,25.2,1403611
295,Rodney McGruder,https://www.basketball-reference.com/players/m/mcgruro01.html,Maryland,5,26,SG,MIA,9.1,543471
296,Ben McLemore,https://www.basketball-reference.com/players/m/mclembe01.html,Missouri,8,24,SG,SAC,9.8,4008882
297,Jordan McRae,https://www.basketball-reference.com/players/m/mcraejo01.html,Georgia,4,26,SG,CLE,9.7,874636
298,Josh McRoberts,https://www.basketball-reference.com/players/m/mcrobjo01.html,Indiana,11,30,PF,MIA,9.8,5782450
299,Jodie Meeks,https://www.basketball-reference.com/players/m/meeksjo01.html,Tennessee,10,30,SG,ORL,13.1,6540000
300,Salah Mejri,https://www.basketball-reference.com/players/m/mejrisa01.html,Tunisia,4,31,C,DAL,14.8,874636
301,Jordan Mickey,https://www.basketball-reference.com/players/m/mickejo01.html,Texas,3,23,PF,BOS,9.8,1223653
302,Khris Middleton,https://www.basketball-reference.com/players/m/middlkh01.html,South Carolina,9,26,SF,MIL,15.0,15200000
303,C.J. Miles,https://www.basketball-reference.com/players/m/milescj01.html,Texas,15,30,SF,IND,13.8,4583450
304,Mike Miller,https://www.basketball-reference.com/players/m/millemi01.html,South Dakota,17,37,SF,DEN,7.6,3500000
305,Patty Mills,https://www.basketball-reference.com/players/m/millspa02.html,Australia,12,29,PG,SAS,15.2,3578948
306,Elijah Millsap,https://www.basketball-reference.com/players/m/millsel01.html,Louisiana,3,30,SG,PHO,-3.4,23069
307,Paul Millsap,https://www.basketball-reference.com/players/m/millspa01.html,Louisiana,15,32,PF,ATL,17.8,20072033
308,Nikola Mirotić,https://www.basketball-reference.com/players/m/mirotni01.html,Montenegro,5,26,PF,CHI,14.5,5782450
309,Greg Monroe,https://www.basketball-reference.com/players/m/monrogr01.html,Louisiana,9,27,C,MIL,21.1,17100000
310,E'Twaun Moore,https://www.basketball-reference.com/players/m/mooreet01.html,Indiana,10,28,SG,NOP,12.1,8081363
311,Marcus Morris,https://www.basketball-reference.com/players/m/morrima03.html,Pennsylvania,10,28,SF,DET,12.4,4625000
312,Markieff Morris,https://www.basketball-reference.com/players/m/morrima02.html,Pennsylvania,10,28,PF,WAS,13.7,7400000
313,Anthony Morrow,https://www.basketball-reference.com/players/m/morroan01.html,North Carolina,9,32,SG,TOT,10.1,3488000
314,Donatas Motiejūnas,https://www.basketball-reference.com/players/m/motiedo01.html,Lithuania,6,27,PF,NOP,9.1,576724
315,Timofey Mozgov,https://www.basketball-reference.com/players/m/mozgoti01.html,Russia,8,31,C,LAL,12.3,16000000
316,Emmanuel Mudiay,https://www.basketball-reference.com/players/m/mudiaem01.html,Democratic Republic of the Congo,5,21,PG,DEN,10.9,3241800
317,Shabazz Muhammad,https://www.basketball-reference.com/players/m/muhamsh01.html,California,5,25,SF,MIN,14.9,3046299
318,Dejounte Murray,https://www.basketball-reference.com/players/m/murrade01.html,Washington,4,21,PG,SAS,9.6,1180080
319,Jamal Murray,https://www.basketball-reference.com/players/m/murraja01.html,Canada,5,20,SG,DEN,11.9,3210840
320,Mike Muscala,https://www.basketball-reference.com/players/m/muscami01.html,Minnesota,8,26,C,ATL,14.4,1015696
321,Larry Nance Jr.,https://www.basketball-reference.com/players/n/nancela02.html,Ohio,6,24,PF,LAL,15.7,1207680
322,Shabazz Napier,https://www.basketball-reference.com/players/n/napiesh01.html,Massachusetts,6,26,PG,POR,13.6,1350120
323,Maurice Ndour,https://www.basketball-reference.com/players/n/ndourma01.html,Senegal,1,25,PF,NYK,11.3,543471
324,Gary Neal,https://www.basketball-reference.com/players/n/nealga01.html,Maryland,7,33,SG,ATL,-4.3,72193
325,Jameer Nelson,https://www.basketball-reference.com/players/n/nelsoja01.html,Pennsylvania,14,35,PG,DEN,11.5,4540525
326,Raul Neto,https://www.basketball-reference.com/players/n/netora01.html,Brazil,6,25,PG,UTA,10.7,937800
327,Georges Niang,https://www.basketball-reference.com/players/n/niangge01.html,Massachusetts,5,24,PF,IND,0.1,650000
328,Andrew Nicholson,https://www.basketball-reference.com/players/n/nichoan01.html,Canada,5,28,PF,TOT,5.9,6088993
329,Joakim Noah,https://www.basketball-reference.com/players/n/noahjo01.html,New York,13,32,C,NYK,15.2,17000000
330,Nerlens Noel,https://www.basketball-reference.com/players/n/noelne01.html,Massachusetts,7,23,C,TOT,20.4,4384490
331,Lucas Nogueira,https://www.basketball-reference.com/players/n/noguelu01.html,Brazil,4,25,C,TOR,15.5,1921320
332,Steve Novak,https://www.basketball-reference.com/players/n/novakst01.html,Illinois,11,34,PF,MIL,1.3,1551659
333,Dirk Nowitzki,https://www.basketball-reference.com/players/n/nowitdi01.html,Germany,21,39,PF,DAL,17.0,25000000
334,Jusuf Nurkić,https://www.basketball-reference.com/players/n/nurkiju01.html,Bosnia and Herzegovina,7,23,C,TOT,17.5,1921320
335,David Nwaba,https://www.basketball-reference.com/players/n/nwabada01.html,California,5,24,SG,LAL,12.2,137466
336,Johnny O'Bryant,https://www.basketball-reference.com/players/o/obryajo01.html,Mississippi,4,24,PF,TOT,14.9,276827
337,Kyle O'Quinn,https://www.basketball-reference.com/players/o/oquinky01.html,New York,8,27,C,NYK,20.5,3900000
338,Daniel Ochefu,https://www.basketball-reference.com/players/o/ochefda01.html,Maryland,1,24,C,WAS,6.6,543471
339,Jahlil Okafor,https://www.basketball-reference.com/players/o/okafoja01.html,Illinois,6,22,C,PHI,14.8,4788840
340,Victor Oladipo,https://www.basketball-reference.com/players/o/oladivi01.html,Maryland,8,25,SG,OKC,13.6,6552960
341,Kelly Olynyk,https://www.basketball-reference.com/players/o/olynyke01.html,Canada,8,26,C,BOS,15.3,3094014
342,Arinze Onuaku,https://www.basketball-reference.com/players/o/onuakar01.html,Maryland,3,30,C,ORL,5.8,440078
343,Chinanu Onuaku,https://www.basketball-reference.com/players/o/onuakch01.html,Maryland,2,21,C,HOU,12.3,543471
344,Kelly Oubre Jr.,https://www.basketball-reference.com/players/o/oubreke01.html,Louisiana,6,22,SF,WAS,9.1,2006640
345,Zaza Pachulia,https://www.basketball-reference.com/players/p/pachuza01.html,Georgia,16,33,C,GSW,16.1,2898000
346,Georgios Papagiannis,https://www.basketball-reference.com/players/p/papagge01.html,Greece,2,20,C,SAC,12.7,2202240
347,Jabari Parker,https://www.basketball-reference.com/players/p/parkeja01.html,Illinois,7,22,PF,MIL,19.1,5374320
348,Tony Parker,https://www.basketball-reference.com/players/p/parketo01.html,Belgium,18,35,PG,SAS,13.0,14445313
349,Chandler Parsons,https://www.basketball-reference.com/players/p/parsoch01.html,Florida,9,29,SF,MEM,7.7,22116750
350,Lamar Patterson,https://www.basketball-reference.com/players/p/pattela01.html,Pennsylvania,2,26,SG,ATL,-1.9,128623
351,Patrick Patterson,https://www.basketball-reference.com/players/p/pattepa01.html,District of Columbia,11,28,PF,TOR,10.8,6050000
352,Chris Paul,https://www.basketball-reference.com/players/p/paulch01.html,North Carolina,16,32,PG,LAC,26.2,22868827
353,Adreian Payne,https://www.basketball-reference.com/players/p/paynead01.html,Ohio,4,26,PF,MIN,14.4,2022240
354,Cameron Payne,https://www.basketball-reference.com/players/p/payneca01.html,Tennessee,6,23,PG,TOT,5.5,2112480
355,Elfrid Payton,https://www.basketball-reference.com/players/p/paytoel01.html,Louisiana,7,23,PG,ORL,17.2,2613600
356,Gary Payton II,https://www.basketball-reference.com/players/p/paytoga02.html,Washington,5,25,PG,MIL,4.5,543471
357,Paul Pierce,https://www.basketball-reference.com/players/p/piercpa01.html,California,19,40,SF,LAC,5.7,3500000
358,Marshall Plumlee,https://www.basketball-reference.com/players/p/plumlma02.html,Indiana,2,25,C,NYK,10.9,543471
359,Mason Plumlee,https://www.basketball-reference.com/players/p/plumlma01.html,Indiana,8,27,C,TOT,18.1,2328530
360,Miles Plumlee,https://www.basketball-reference.com/players/p/plumlmi01.html,Indiana,7,29,C,TOT,8.4,12500000
361,Jakob Poeltl,https://www.basketball-reference.com/players/p/poeltja01.html,Austria,5,22,C,TOR,12.2,2703960
362,Otto Porter Jr.,https://www.basketball-reference.com/players/p/porteot01.html,Missouri,8,24,SF,WAS,17.3,5893981
363,Bobby Portis,https://www.basketball-reference.com/players/p/portibo01.html,Arkansas,6,22,PF,CHI,14.9,1453680
364,Kristaps Porziņģis,https://www.basketball-reference.com/players/p/porzikr01.html,Latvia,5,22,PF,NYK,17.4,4317720
365,Dwight Powell,https://www.basketball-reference.com/players/p/poweldw01.html,Canada,7,26,C,DAL,17.6,8375000
366,Norman Powell,https://www.basketball-reference.com/players/p/powelno01.html,California,6,24,SG,TOR,14.0,874636
367,Alex Poythress,https://www.basketball-reference.com/players/p/poythal01.html,Georgia,3,24,PF,PHI,13.2,38903
368,Ronnie Price,https://www.basketball-reference.com/players/p/pricero01.html,Texas,12,34,PG,PHO,5.9,2557545
369,Taurean Prince,https://www.basketball-reference.com/players/p/princta02.html,Texas,5,23,SF,ATL,9.8,2318280
370,Chasson Randle,https://www.basketball-reference.com/players/r/randlch01.html,Illinois,4,24,PG,TOT,13.6,297311
371,Julius Randle,https://www.basketball-reference.com/players/r/randlju01.html,Texas,7,23,PF,LAL,16.3,3267120
372,Zach Randolph,https://www.basketball-reference.com/players/r/randoza01.html,Indiana,17,36,PF,MEM,18.5,10361445
373,J.J. Redick,https://www.basketball-reference.com/players/r/redicjj01.html,Tennessee,15,33,SG,LAC,14.8,7377500
374,Willie Reed,https://www.basketball-reference.com/players/r/reedwi02.html,Missouri,3,27,C,MIA,17.1,1015696
375,Josh Richardson,https://www.basketball-reference.com/players/r/richajo01.html,Oklahoma,6,24,SG,MIA,10.7,874636
376,Malachi Richardson,https://www.basketball-reference.com/players/r/richama01.html,New Jersey,3,21,SG,SAC,9.6,1439880
377,Austin Rivers,https://www.basketball-reference.com/players/r/riverau01.html,California,9,25,SG,LAC,11.4,11000000
378,Andre Roberson,https://www.basketball-reference.com/players/r/roberan03.html,New Mexico,7,26,SF,OKC,9.6,2183072
379,Brian Roberts,https://www.basketball-reference.com/players/r/roberbr01.html,Ohio,5,32,PG,CHO,9.8,1050961
380,Glenn Robinson III,https://www.basketball-reference.com/players/r/robingl02.html,Indiana,7,23,SF,IND,11.5,1050500
381,Thomas Robinson,https://www.basketball-reference.com/players/r/robinth01.html,District of Columbia,5,26,PF,LAL,17.3,1050961
382,Sergio Rodríguez,https://www.basketball-reference.com/players/r/rodrise01.html,Spain,5,31,PG,PHI,11.1,8000000
383,Rajon Rondo,https://www.basketball-reference.com/players/r/rondora01.html,Kentucky,15,31,PG,CHI,13.6,14000000
384,Derrick Rose,https://www.basketball-reference.com/players/r/rosede01.html,Illinois,12,29,PG,NYK,17.0,21323250
385,Terrence Ross,https://www.basketball-reference.com/players/r/rosste01.html,Oregon,9,26,SF,TOT,13.4,10000000
386,Terry Rozier,https://www.basketball-reference.com/players/r/roziete01.html,Ohio,6,23,PG,BOS,10.9,1906440
387,Ricky Rubio,https://www.basketball-reference.com/players/r/rubiori01.html,Spain,10,27,PG,MIN,16.8,13550000
388,Damjan Rudež,https://www.basketball-reference.com/players/r/rudezda01.html,Croatia,3,31,SF,ORL,6.3,980431
389,Brandon Rush,https://www.basketball-reference.com/players/r/rushbr01.html,Missouri,9,32,SG,MIN,6.6,3500000
390,D'Angelo Russell,https://www.basketball-reference.com/players/r/russeda01.html,Kentucky,6,21,PG,LAL,15.3,5332800
391,Domantas Sabonis,https://www.basketball-reference.com/players/s/sabondo01.html,Oregon,5,21,PF,OKC,6.9,2440200
392,Larry Sanders,https://www.basketball-reference.com/players/s/sandela01.html,Florida,6,29,C,CLE,6.5,1865547
393,Dario Šarić,https://www.basketball-reference.com/players/s/saricda01.html,Croatia,5,23,PF,PHI,12.8,2318280
394,Tomáš Satoranský,https://www.basketball-reference.com/players/s/satorto01.html,Czech Republic,5,26,SG,WAS,8.5,2870813
395,Dennis Schröder,https://www.basketball-reference.com/players/s/schrode01.html,Germany,8,24,PG,ATL,16.1,2708582
396,Luis Scola,https://www.basketball-reference.com/players/s/scolalu01.html,Argentina,10,37,PF,BRK,13.9,5000000
397,Mike Scott,https://www.basketball-reference.com/players/s/scottmi01.html,Virginia,9,29,PF,ATL,5.9,3333334
398,Thabo Sefolosha,https://www.basketball-reference.com/players/s/sefolth01.html,Switzerland,14,33,SF,ATL,11.9,3850000
399,Wayne Selden,https://www.basketball-reference.com/players/s/seldewa01.html,Massachusetts,3,23,SG,TOT,6.9,83119
400,Kevin Séraphin,https://www.basketball-reference.com/players/s/serapke01.html,French Guiana,7,28,PF,IND,14.4,1800000
401,Ramon Sessions,https://www.basketball-reference.com/players/s/sessira01.html,South Carolina,11,31,PG,CHO,12.4,6000000
402,Iman Shumpert,https://www.basketball-reference.com/players/s/shumpim01.html,Illinois,10,27,SG,CLE,9.0,9700000
403,Pascal Siakam,https://www.basketball-reference.com/players/s/siakapa01.html,Cameroon,5,23,PF,TOR,11.5,1196040
404,Jonathon Simmons,https://www.basketball-reference.com/players/s/simmojo02.html,Texas,4,28,SG,SAS,9.9,874636
405,Kyle Singler,https://www.basketball-reference.com/players/s/singlky01.html,Oregon,6,29,SF,OKC,5.9,4837500
406,Marcus Smart,https://www.basketball-reference.com/players/s/smartma01.html,Texas,7,23,SG,BOS,12.0,3578880
407,Ish Smith,https://www.basketball-reference.com/players/s/smithis01.html,North Carolina,11,29,PG,DET,14.7,6000000
408,J.R. Smith,https://www.basketball-reference.com/players/s/smithjr01.html,New Jersey,16,32,SG,CLE,8.1,12800000
409,Jason Smith,https://www.basketball-reference.com/players/s/smithja02.html,Colorado,11,31,C,WAS,13.6,5000000
410,Tony Snell,https://www.basketball-reference.com/players/s/snellto01.html,California,8,26,SG,MIL,9.7,2368327
411,Marreese Speights,https://www.basketball-reference.com/players/s/speigma01.html,Florida,10,30,C,LAC,17.5,1403611
412,Tiago Splitter,https://www.basketball-reference.com/players/s/splitti01.html,Brazil,7,32,C,PHI,15.0,8550000
413,Nik Stauskas,https://www.basketball-reference.com/players/s/stausni01.html,Canada,5,24,SG,PHI,9.0,2993040
414,Lance Stephenson,https://www.basketball-reference.com/players/s/stephla01.html,New York,9,27,SG,TOT,9.6,4000000
415,Jarnell Stokes,https://www.basketball-reference.com/players/s/stokeja01.html,Tennessee,3,23,C,DEN,31.5,150000
416,Diamond Stone,https://www.basketball-reference.com/players/s/stonedi01.html,Wisconsin,1,20,C,LAC,-1.2,543471
417,Rodney Stuckey,https://www.basketball-reference.com/players/s/stuckro01.html,Washington,10,31,PG,IND,9.5,7000000
418,Jared Sullinger,https://www.basketball-reference.com/players/s/sullija01.html,Ohio,5,25,PF,TOR,6.0,5628000
419,Edy Tavares,https://www.basketball-reference.com/players/t/tavarwa01.html,Cape Verde,2,25,C,TOT,21.3,1000000
420,Isaiah Taylor,https://www.basketball-reference.com/players/t/taylois01.html,California,2,23,PG,HOU,0.3,305000
421,Jeff Teague,https://www.basketball-reference.com/players/t/teaguje01.html,Indiana,12,29,PG,IND,19.2,8800000
422,Mirza Teletović,https://www.basketball-reference.com/players/t/teletmi01.html,Bosnia and Herzegovina,6,32,PF,MIL,8.8,10500000
423,Garrett Temple,https://www.basketball-reference.com/players/t/templga01.html,Louisiana,11,31,SG,SAC,11.2,8000000
424,Jason Terry,https://www.basketball-reference.com/players/t/terryja01.html,Washington,19,40,SG,MIL,9.1,1551659
425,Isaiah Thomas,https://www.basketball-reference.com/players/t/thomais02.html,Washington,10,28,PG,BOS,26.5,6587132
426,Lance Thomas,https://www.basketball-reference.com/players/t/thomala01.html,New York,9,29,PF,NYK,8.4,6191000
427,Hollis Thompson,https://www.basketball-reference.com/players/t/thompho01.html,California,4,26,SG,TOT,7.9,442126
428,Klay Thompson,https://www.basketball-reference.com/players/t/thompkl01.html,California,8,27,SG,GSW,17.4,16663575
429,Tristan Thompson,https://www.basketball-reference.com/players/t/thomptr01.html,Canada,10,26,C,CLE,15.3,15330435
430,Marcus Thornton,https://www.basketball-reference.com/players/t/thornma01.html,Louisiana,8,30,SG,WAS,10.4,1315448
431,Mike Tobey,https://www.basketball-reference.com/players/t/tobeymi01.html,New York,1,23,C,CHO,-0.1,138938
432,Anthony Tolliver,https://www.basketball-reference.com/players/t/tollian01.html,Missouri,13,32,PF,SAC,11.1,8000000
433,Axel Toupane,https://www.basketball-reference.com/players/t/toupaax01.html,France,3,25,SF,TOT,6.2,51449
434,Karl-Anthony Towns,https://www.basketball-reference.com/players/t/townska01.html,New Jersey,6,22,C,MIN,25.9,5960160
435,P.J. Tucker,https://www.basketball-reference.com/players/t/tuckepj01.html,North Carolina,10,32,SF,TOT,10.5,5300000
436,Evan Turner,https://www.basketball-reference.com/players/t/turneev01.html,Illinois,10,29,SF,POR,11.4,16393443
437,Myles Turner,https://www.basketball-reference.com/players/t/turnemy01.html,Texas,6,21,C,IND,18.5,2463840
438,Beno Udrih,https://www.basketball-reference.com/players/u/udrihbe01.html,Slovenia,13,35,PG,DET,16.2,1551659
439,Tyler Ulis,https://www.basketball-reference.com/players/u/ulisty01.html,Michigan,3,21,PG,PHO,13.0,918369
440,Jarrod Uthoff,https://www.basketball-reference.com/players/u/uthofja01.html,Iowa,2,24,PF,DAL,13.9,63938
441,Jonas Valančiūnas,https://www.basketball-reference.com/players/v/valanjo01.html,Lithuania,9,25,C,TOR,20.1,14382022
442,Denzel Valentine,https://www.basketball-reference.com/players/v/valende01.html,Michigan,4,24,SG,CHI,7.3,2092200
443,Fred VanVleet,https://www.basketball-reference.com/players/v/vanvlfr01.html,Illinois,5,23,PG,TOR,10.5,543471
444,Anderson Varejão,https://www.basketball-reference.com/players/v/varejan01.html,Brazil,14,35,C,GSW,9.4,1984005
445,Greivis Vásquez,https://www.basketball-reference.com/players/v/vasqugr01.html,Venezuela,7,30,PG,BRK,4.1,4347826
446,Rashad Vaughn,https://www.basketball-reference.com/players/v/vaughra01.html,Minnesota,3,21,SG,MIL,7.8,1811040
447,Noah Vonleh,https://www.basketball-reference.com/players/v/vonleno01.html,Massachusetts,7,22,PF,POR,10.8,2751360
448,Nikola Vučević,https://www.basketball-reference.com/players/v/vucevni01.html,Switzerland,10,27,C,ORL,19.1,11750000
449,Sasha Vujačić,https://www.basketball-reference.com/players/v/vujacsa01.html,Slovenia,10,33,SG,NYK,8.6,1410598
450,Dwyane Wade,https://www.basketball-reference.com/players/w/wadedw01.html,Illinois,16,35,SG,CHI,18.5,23200000
451,Dion Waiters,https://www.basketball-reference.com/players/w/waitedi01.html,Pennsylvania,8,26,SG,MIA,14.5,2898000
452,Kemba Walker,https://www.basketball-reference.com/players/w/walkeke02.html,New York,10,27,PG,CHO,21.3,12000000
453,John Wall,https://www.basketball-reference.com/players/w/walljo01.html,North Carolina,10,27,PG,WAS,23.2,16957900
454,T.J. Warren,https://www.basketball-reference.com/players/w/warretj01.html,North Carolina,7,24,SF,PHO,15.6,2128920
455,C.J. Watson,https://www.basketball-reference.com/players/w/watsocj01.html,Nevada,10,33,PG,ORL,9.3,5000000
456,Briante Weber,https://www.basketball-reference.com/players/w/weberbr01.html,Virginia,3,25,PG,TOT,11.0,328000
457,David West,https://www.basketball-reference.com/players/w/westda01.html,New Jersey,15,37,C,GSW,16.6,1551659
458,Okaro White,https://www.basketball-reference.com/players/w/whiteok01.html,Florida,3,25,PF,MIA,7.5,374933
459,Isaiah Whitehead,https://www.basketball-reference.com/players/w/whiteis01.html,New York,2,22,PG,BRK,7.6,1074145
460,Andrew Wiggins,https://www.basketball-reference.com/players/w/wiggian01.html,Canada,7,22,SF,MIN,16.5,6006600
461,C.J. Wilcox,https://www.basketball-reference.com/players/w/wilcocj01.html,Utah,3,27,SG,ORL,2.9,1209680
